City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,coyhaique,-45.5752,-72.0662,274.12,93,100,0.0,CL,1690412373
321,robore,-18.3333,-59.75,299.2,43,100,2.31,BO,1690412373
322,nabire,-3.3667,135.4833,299.32,81,93,1.66,ID,1690412373
323,karatau,43.1667,70.4667,299.82,25,0,2.73,KZ,1690412373
324,machico,32.7,-16.7667,295.5,79,20,2.57,PT,1690412374
325,mata-utu,-13.2816,-176.1745,299.43,77,100,7.13,WF,1690412374
326,stolin,51.8912,26.846,288.63,96,100,3.65,BY,1690412374
327,yoichi,43.2039,140.7703,298.77,75,99,2.11,JP,1690412374
328,heihe,50.2441,127.4902,294.47,69,90,1.45,CN,1690412191
329,katsuura,35.1333,140.3,300.86,77,5,3.04,JP,1690412271
330,mazara del vallo,37.6641,12.588,300.12,62,0,7.72,IT,1690412374
331,gadzhiyevo,69.2551,33.3362,283.22,96,100,1.19,RU,1690412375
332,williams lake,52.1415,-122.1445,296.51,45,75,1.34,CA,1690412231
333,kill devil hills,36.0307,-75.676,304.81,70,0,6.17,US,1690412375
334,santa cruz,-17.8,-63.1667,293.18,60,75,5.14,BO,1690412233
335,altay,47.8667,88.1167,294.77,34,71,2.8,CN,1690412375
336,bamboo flat,11.7,92.7167,301.2,83,75,3.6,IN,1690412375
337,las khorey,11.1595,48.1967,304.82,49,24,6.86,SO,1690412375
338,qaqortoq,60.7167,-46.0333,279.71,84,89,2.21,GL,1690412240
339,ha giang,22.8333,104.9833,298.23,98,100,1.12,VN,1690412376
340,taishan,22.2514,112.7799,301.8,78,47,1.5,CN,1690412376
341,marand,38.4329,45.7749,294.83,54,0,1.52,IR,1690412376
342,mili,6.0815,171.735,300.94,77,85,5.19,MH,1690412376
343,ixtapa,20.7,-105.2,301.15,77,99,0.28,MX,1690412216
344,calama,-22.4667,-68.9333,290.42,12,0,9.26,CL,1690412377
345,iguape,-24.7081,-47.5553,294.88,70,68,2.2,BR,1690412377
346,villa gesell,-37.2639,-56.973,283.18,86,11,11.14,AR,1690412217
347,hobyo,5.3505,48.5268,297.49,84,12,10.96,SO,1690412377
348,uray,60.1247,64.7758,287.46,85,16,2.56,RU,1690412377
349,fortuna,40.5982,-124.1573,295.33,67,0,6.17,US,1690412232
350,inhambane,-23.865,35.3833,292.27,66,46,2.64,MZ,1690412321
351,mar del plata,-38.0023,-57.5575,283.2,81,100,8.05,AR,1690412377
352,qaisumah,28.3112,46.1273,308.13,15,0,1.54,SA,1690412378
353,portland,45.5234,-122.6762,302.96,35,20,4.12,US,1690412349
354,saipan,15.1355,145.701,300.18,100,75,8.94,MP,1690412378
355,basco,20.4487,121.9702,303.03,72,100,17.45,PH,1690412378
356,koz'modem'yansk,56.3367,46.5711,291.77,93,86,5.66,RU,1690412378
357,shanga,11.2106,4.5788,301.1,71,89,2.28,NG,1690412378
358,tadine,-21.55,167.8833,294.06,56,96,8.46,NC,1690412378
359,cockburn town,21.4612,-71.1419,301.81,83,57,9.61,TC,1690412378
360,yallahs,17.8748,-76.5624,305.83,72,98,3.43,JM,1690412379
361,cold lake,54.4502,-110.2017,287.12,88,100,2.57,CA,1690412379
362,dongxi,28.7614,106.6611,297.18,94,99,1.72,CN,1690412379
363,qusmuryn,52.4503,64.6311,291.62,72,48,1.52,KZ,1690412379
364,avarua,-21.2078,-159.775,297.18,69,40,3.09,CK,1690412379
365,porto novo,6.4965,2.6036,299.05,92,34,2.78,BJ,1690412379
